start,end,today,,Select region,Select your National Society,Visibility:,__version__,_id,_uuid,_submission_time,_validation_status,_index,INVOLVED IN VACCINATION ACTIVITIES,ISO3,Final involvement,Source
2021-02-18T11:34:47.242+04:00,2021-02-18T17:09:03.325+04:00,2021-02-18,,Europe,Armenian Red Cross Society,Public,vBBPRRPRGAkK8njaji7pcp,15040,1664125c-3ca7-441a-8fe0-bf493dc6f694,2021-02-18T13:09:15,,17,0,ARM,Yes,SA Tool
2021-02-18T12:10:21.145-00:00,2021-02-18T13:09:59.520-00:00,2021-02-18,,Europe,Portuguese Red Cross,Public,vBBPRRPRGAkK8njaji7pcp,15041,e8e02068-24c2-42af-a38d-a0d2126c103b,2021-02-18T13:10:10,,18,0,PRT,Yes,SA Tool
2021-02-16T07:44:17.743+01:00,2021-02-18T14:22:15.690+01:00,2021-02-16,,Europe,Norwegian Red Cross,Public,vBBPRRPRGAkK8njaji7pcp,15046,769616c5-6dfe-4151-90a3-1682cedacfc6,2021-02-18T13:22:27,,19,0,NOR,Yes,SA Tool
2021-02-18T11:30:10.918+02:00,2021-02-18T16:30:07.167+02:00,2021-02-18,,Europe,Belarus Red Cross,Public,vBBPRRPRGAkK8njaji7pcp,15049,a7b211f4-10b2-4947-82b2-30f06cce6034,2021-02-18T13:31:39,,20,0,BLR,Yes,SA Tool
2021-02-16T11:44:00.722+02:00,2021-02-16T12:06:37.884+02:00,2021-02-16,,Africa,Zimbabwe Red Cross Society,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14377,777c5dde-fd1e-4f70-8ae9-784bf0a7279d,2021-02-16T10:06:38,,2,0,ZWE,Yes,SA Tool
2021-02-16T10:33:53.414+02:00,2021-02-16T12:10:22.489+02:00,2021-02-16,,Africa,Malawi Red Cross Society,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14378,75781052-a240-4eff-ae45-0d1175a18ed7,2021-02-16T10:10:24,,3,0,MWI,Yes,SA Tool
2021-02-16T14:34:17.359+04:00,2021-02-16T15:19:10.161+04:00,2021-02-16,,Africa,Zambia Red Cross Society,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14391,f3c501f3-146b-4a16-9c3c-3948d8ace01b,2021-02-16T11:19:11,,4,0,ZMB,Yes,SA Tool
2021-02-16T16:36:59.462+04:00,2021-02-16T16:42:19.654+04:00,2021-02-16,,Africa,Mauritius Red Cross Society,Public,vBBPRRPRGAkK8njaji7pcp,14400,04cd7b62-608d-49f2-850b-b7f50e50fd44,2021-02-16T12:42:20,,5,0,MUS,No,SA Tool
2021-02-16T14:58:36.751+02:00,2021-02-16T15:19:41.626+02:00,2021-02-16,,Africa,Botswana Red Cross Society,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,14405,736e338c-810c-427f-9258-74b34122f2fe,2021-02-16T13:19:43,,6,0,BWA,Yes,SA Tool
2021-02-16T12:17:51.823+02:00,2021-02-16T18:04:15.902+02:00,2021-02-16,,Africa,Baphalali Eswatini Red Cross Society,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,14468,b3b61a37-5750-4298-9f4e-411e41e4a2e4,2021-02-16T16:04:25,,7,0,SWZ,Yes,SA Tool
2021-02-16T13:12:38.849-00:00,2021-02-16T17:43:13.207-00:00,2021-02-16,,Africa,The Gambia Red Cross Society,Public,vBBPRRPRGAkK8njaji7pcp,14491,2c376727-1892-48bb-b921-93cc231b697a,2021-02-16T17:43:15,,8,0,GMB,Yes,SA Tool
2021-02-17T08:15:56.211-00:00,2021-02-17T08:46:59.857-00:00,2021-02-17,,Africa,Liberian Red Cross Society,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,14716,3e34c7a0-09bf-49b0-a5b5-96b17dc2bfff,2021-02-17T08:47:01,,9,0,LBR,Yes,SA Tool
2021-02-17T11:24:52.455+02:00,2021-02-17T12:31:03.068+02:00,2021-02-17,,Africa,Lesotho Red Cross Society,Public,vBBPRRPRGAkK8njaji7pcp,14752,d01d33ae-e3d6-451a-80a8-4088cec22555,2021-02-17T10:31:07,,10,0,LSO,Yes,SA Tool
2021-02-17T09:38:04.559-00:00,2021-02-17T11:34:56.680-00:00,2021-02-17,,Africa,Ghana Red Cross Society,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14771,9d24b628-ec9c-470e-8d12-e6e7191ced30,2021-02-17T11:34:57,,11,0,GHA,Yes,SA Tool
2021-02-17T13:15:34.019-00:00,2021-02-17T14:58:35.348-00:00,2021-02-17,,Africa,Sierra Leone Red Cross Society,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14823,0539a79e-1062-4e3e-bebf-e1ba98252a78,2021-02-17T14:58:36,,12,0,SLE,Yes,SA Tool
2021-02-17T17:27:37.217+02:00,2021-02-17T18:23:11.711+02:00,2021-02-17,,Africa,The South African Red Cross Society,Public,vBBPRRPRGAkK8njaji7pcp,14849,f11aba89-a698-4567-836d-efac7fdbf623,2021-02-17T16:21:04,,13,0,ZAF,Yes,SA Tool
2021-02-17T17:16:15.604+02:00,2021-02-17T18:46:21.160+02:00,2021-02-17,,Africa,Mozambique Red Cross Society,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,14851,a97f17f1-2a8a-4c7e-a4fe-934611473cb4,2021-02-17T16:46:23,,14,0,MOZ,Yes,SA Tool
2021-02-17T17:24:57.739+01:00,2021-02-17T18:37:44.716+01:00,2021-02-17,,Africa,Red Cross of Benin,Public,vBBPRRPRGAkK8njaji7pcp,14864,4e39a9e9-0347-4f44-bae0-4fe1c21632c7,2021-02-17T17:37:45,,15,0,BEN,Yes,SA Tool
